,Name,Country,Position,Age,Overall_Rating,Potential,Duration,Team,Total_Stats,photo_link,country_flag_img_link
0,Pape Matar Sarr,Senegal,CM,19,71,81,2021 ~ 2026,Tottenham Hotspur,1865,https://cdn.sofifa.net/players/259/868/23_180.png, https://cdn.sofifa.net/flags/sn@3x.png
1,Manuel Ugarte,Uruguay,CM,21,79,85,2021 ~ 2026,Sporting CP,1950,https://cdn.sofifa.net/players/253/306/23_180.png, https://cdn.sofifa.net/flags/uy@3x.png
2,Mykhailo Mudryk,Ukraine,LW,21,75,85,2023 ~ 2031,Chelsea,1836,https://cdn.sofifa.net/players/246/340/23_180.png, https://cdn.sofifa.net/flags/ua@3x.png
3,Israel Reyes,Mexico,CDM,22,75,83,Free,Mexico,2087,https://cdn.sofifa.net/players/252/008/23_180.png, https://cdn.sofifa.net/flags/mx@3x.png
4,Lewis Hall,England,LB,17,61,79,2021 ~ 2025,Chelsea,1710,https://cdn.sofifa.net/players/266/127/23_180.png, https://cdn.sofifa.net/flags/gb-eng@3x.png
5,Julio César Enciso,Paraguay,CAM,18,65,83,2022 ~ 2026,Brighton & Hove Albion,1589,https://cdn.sofifa.net/players/255/434/23_180.png, https://cdn.sofifa.net/flags/py@3x.png
6,Randal Kolo Muani,France,RM,23,82,86,2022 ~ 2027,Eintracht Frankfurt,1989,https://cdn.sofifa.net/players/237/679/23_180.png, https://cdn.sofifa.net/flags/fr@3x.png
7,Arthur Vermeeren,Belgium,CM,17,70,87,2022 ~ 2026,Antwerp,1765,https://cdn.sofifa.net/players/269/859/23_180.png, https://cdn.sofifa.net/flags/be@3x.png
8,Andrés Iniesta Luján,Spain,CM,37,79,79,2018 ~ 2024,Vissel Kobe,1918,https://cdn.sofifa.net/players/000/041/22_180.png, https://cdn.sofifa.net/flags/es@3x.png
9,Georges Mikautadze,Georgia,CAM,21,71,81,2019 ~ 2026,Metz,1862,https://cdn.sofifa.net/players/254/551/23_180.png, https://cdn.sofifa.net/flags/ge@3x.png
